query,clean_query,corrected_query,cluster
chupps,chupps,chumps,3
best quality man,best quality man,best quality man,1
winger,winger,winger,1
ladies flipflop,ladies flipflop,ladies slipslop,0
samba,samba,samba,1
bridal,bridal,bridal,1
khitan,khitan,khotan,1
abros,abros,bros,3
abros,abros,bros,3
cubix,cubix,cubic,3
coros,coros,corps,3
fx foot wear,fx foot wear,fix foot wear,0
abros,abros,bros,3
HYFEX,hyfex,hex,3
tilkzrok,tilkzrok,tilkzrok,1
Chalsia Boots,chalsia boots,chelsea boots,0
rook,rook,rook,1
tlizrok,tlizrok,tlizrok,1
trv ladies,trv ladies,try ladies,1
sleeper3611,sleeper3611,sleeper3611,4
sleeper3611,sleeper3611,sleeper3611,4
TFC footwear,tfc footwear,tic footwear,0
Nobel,nobel,nobel,1
eurosoft,eurosoft,eurosoft,1
chefland,chefland,shetland,1
asian,asian,asian,1
asian,asian,asian,1
Abross,abross,across,3
kain footwear  factory,kain footwear  factory,kain footwear factory,0
balmain,balmain,bargain,3
riding jacket,riding jacket,riding jacket,2
Lakhani Hawai,lakhani hawai,lakhani hawaii,1
lakshay hawai,lakshay hawai,sashay hawaii,1
shirts 1607,shirts 1607,shirts 1607,4
velcon,velcon,beacon,1
crocs aqualite,crocs aqualite,cross quality,1
flip flop kids,flip flop kids,flip flop kids,0
flip flop slip over,flip flop slip over,flip flop slip over,0
bxxy,bxxy,boxy,3
navar patty,navar patty,navar patty,1
Abros,abros,bros,3
ladies fancy,ladies fancy,ladies fancy,1
GNR,gnr,ger,1
asoka,asoka,asoka,1
disposal mask,disposal mask,disposal mask,1
juse cross,juse cross,just cross,3
juse cross,juse cross,just cross,3
garden spray,garden spray,garden spray,1
flip flops 99,flip flops 99,flip flops 99,0
vkc flip,vkc flip,vic flip,1
action.com,actioncom,actioncom,1
jacket,jacket,jacket,2
lose wakar,lose wakar,lose dakar,1
hkk lose,hkk lose,he lose,3
shagun enterprises,shagun enterprises,shogun enterprises,1
Lakhani suj,lakhani suj,lakhani sun,1
creoz fotwear,creoz fotwear,creon footwear,0
spaselite,spaselite,spaselite,1
asian crocs,asian crocs,asian cross,1
vkc,vkc,vic,3
sokab,sokab,okay,3
toy store,toy store,toy store,1
bairathi,bairathi,marathi,1
sega stada,sega stada,sega stadia,1
torshu,torshu,torch,1
football stada,football stada,football stadia,3
football stud,football stud,football stud,1
Axel arjgato,axel arjgato,axe aragats,1
tracstar,tracstar,tractor,1
track star,track star,track star,1
Mlq,mlq,my,3
MlQ,mlq,my,3
airwash,airwash,airway,1
spark,spark,spark,3
joodns snk,joodns snk,woods sink,1
bata siliper,bata siliper,data silver,1
flite jens,flite jens,flite jews,1
slipeer8,slipeer8,slippery,0
moji,moji,mojo,3
paddong 30+35,paddong 3035,padding 3035,4
crocs woman,crocs woman,cross woman,1
paddingg 30+35,paddingg 3035,padding 3035,4
sandals 1649,sandals 1649,sandals 1649,0
Oggy snackers,oggy snackers,doggy snickers,1
star gold,star gold,star gold,1
puma,puma,puma,1
women winterwener,women winterwener,women intervener,1
whiteboard,whiteboard,whiteboard,3
jhocket,jhocket,pocket,3
jocket,jocket,pocket,3
t shirts ck,t shirts ck,t shirts ok,2
watches,watches,watches,3
time watch,time watch,time watch,3
smart watch,smart watch,smart watch,1
kids socks,kids socks,kids socks,0
socks socks winter socks,socks socks winter socks,socks socks winter socks,0
skullcandy,skullcandy,skullcandy,1
DIME3,dime3,dime,1
DIME3 bluetooth,dime3 bluetooth,dime bluetooth,1
Shubh Delhi item,shubh delhi item,shush delhi item,1
Shubh Delhi item,shubh delhi item,shush delhi item,1
campus syllabus,campus syllabus,campus syllabus,4
campus men,campus men,campus men,4
men show campus,men show campus,men show campus,4
phon,phon,phone,3
shirt pant,shirt pant,shirt pant,2
jauket man bo,jauket man bo,jacket man to,2
Park flip flop,park flip flop,park flip flop,0
lip lock,lip lock,lip lock,1
mixer,mixer,mixer,1
mixer grinder,mixer grinder,mixer grinder,1
Oppo a78 5G back cover,oppo a78 5g back cover,open a ag back cover,1
striker,striker,striker,1
à¤†à¤°à¤ªà¤¾à¤°,,,3
ego,ego,ego,3
jacket,jacket,jacket,2
jacket,jacket,jacket,2
jacket,jacket,jacket,2
pant shirt,pant shirt,pant shirt,2
jeans pant,jeans pant,jeans pant,2
adidas jaket,adidas jaket,adidas jacket,2
jaket,jaket,jacket,2
men band soej,men band soej,men band so,3
jeans ki pant,jeans ki pant,jeans ki pant,2
jeans ki pant,jeans ki pant,jeans ki pant,2
booksheet,booksheet,bookshelf,1
vgr trimmee,vgr trimmee,var trimmed,1
man hoddi jaket,man hoddi jaket,man hold jacket,2
Main Hun DJ jacket,main hun dj jacket,main hun do jacket,2
stylish jacket,stylish jacket,stylish jacket,2
man hoddi,man hoddi,man hold,3
man hoddis,man hoddis,man holds,1
smart watch,smart watch,smart watch,1
SMART WAIH,smart waih,smart wait,3
Smartwatch Smartwatch,smartwatch smartwatch,smartwatch smartwatch,1
man shart,man shart,man start,3
garam jarkin,garam jarkin,gram jerkin,1
Garam jacket,garam jacket,gram jacket,2
men shirt,men shirt,men shirt,2
Sardi ke kapde garam,sardi ke kapde garam,sari we made gram,1
winter hoodie,winter hoodie,winter goodie,1
nike air force 1,nike air force 1,nike air force 1,0
men Jens,men jens,men jews,3
Killer Jeans,killer jeans,killer jeans,2
design dresses,design dresses,design dresses,2
design suit,design suit,design suit,2
round light,round light,round light,1
Tik Tok light,tik tok light,tie to light,3
stick selfie,stick selfie,stick selfish,3
jacket,jacket,jacket,2
airport,airport,airport,3
jeans for men,jeans for men,jeans for men,2
mosagh,mosagh,dosage,4
mufti jens men,mufti jens men,mufti jews men,1
mufti jens,mufti jens,mufti jews,1
mufti jens,mufti jens,mufti jews,1
teens funky black pant,teens funky black pant,teens funky black pant,1
hip hop tsat,hip hop tsat,hip hop that,1
oxer,oxer,over,3
garl souj,garl souj,girl soul,1
ladies suit jeans ke,ladies suit jeans ke,ladies suit jeans we,2
Fastrack,fastrack,fastback,1
mens jeans,mens jeans,men jeans,2
camera,camera,camera,3
smart watch,smart watch,smart watch,1
shoes man,shoes man,shoes man,0
jacket,jacket,jacket,2
man jacket,man jacket,man jacket,2
Air Jordan maroon javket,air jordan maroon javket,air jordan maroon jacket,2
running clothes in winter,running clothes in winter,running clothes in winter,2
pent,pent,pent,1
Delhi footwear India,delhi footwear india,delhi footwear india,0
accurate Hawai,accurate hawai,accurate hawaii,1
high quality Huawei,high quality huawei,high quality hawed,1
16 Promax,16 promax,16 prom,4
Garam jacket,garam jacket,gram jacket,2
jacket,jacket,jacket,2
ladkon ki jeans,ladkon ki jeans,ladon ki jeans,2
jeans gu,jeans gu,jeans go,2
flip flop men,flip flop men,flip flop men,0
long pant,long pant,long pant,1
kabbadi kit,kabbadi kit,kabbala kit,1
smart watch,smart watch,smart watch,1
remote control JCB,remote control jcb,remote control job,1
yearbits,yearbits,terabits,1
ye,ye,ye,3
oppo mobile,oppo mobile,open mobile,1
OPPO mobile,oppo mobile,open mobile,1
losar pant,losar pant,loser pant,1
watch,watch,watch,3
watch,watch,watch,3
Airsport,airsport,airport,3
à¤ªà¥ˆà¤®à¤¸,,,3
Airson,airson,arson,3
airson,airson,arson,3
t sate,t sate,t sate,1
Garam shirt,garam shirt,gram shirt,2
huddy sweter,huddy sweter,buddy sweater,2
red chief,red chief,red chief,1
jacket,jacket,jacket,2
jenes pent,jenes pent,genes pent,1
towel socks,towel socks,towel socks,0
fur flip flop,fur flip flop,fur flip flop,0
walkmate,walkmate,walkman,1
Paragon,paragon,paragon,1
cool work,cool work,cool work,3
campus,campus,campus,4
jinespant for men,jinespant for men,jinespant for men,1
tisart,tisart,start,3
cutiefoam,cutiefoam,cutiefoam,1
cutie foam,cutie foam,cutie foam,1
eairphone,eairphone,earphone,1
kapda,kapda,kappa,1
jense,jense,sense,3
jinsh  boy,jinsh  boy,wish boy,3
jinsh sort,jinsh sort,wish sort,1
jinsh,jinsh,wish,3
à¤®à¥‹à¤¬à¤¾à¤ˆà¤²,,,3
white jacket,white jacket,white jacket,2
Raymond,raymond,raymond,3
jyaket man,jyaket man,jacket man,2
campus wait and gerren chalar,campus wait and gerren chalar,campus wait and germen chadar,4
flip flop,flip flop,flip flop,0
hoodie t shirt,hoodie t shirt,goodie t shirt,2
flip flop boys,flip flop boys,flip flop boys,0
hoodie for boys,hoodie for boys,goodie for boys,3
croks for boys,croks for boys,cross for boys,3
flip flop boys,flip flop boys,flip flop boys,0
jeans XX hot 10,jeans xx hot 10,jeans ex hot 10,2
tracksuit,tracksuit,tracksuit,0
tracksuit suit track,tracksuit suit track,tracksuit suit track,0
gents pant,gents pant,gents pant,1
jeans pant,jeans pant,jeans pant,2
jeans pant,jeans pant,jeans pant,2
jeans pant,jeans pant,jeans pant,2
jeans pant,jeans pant,jeans pant,2
à¤•à¤¾à¤¨ à¤•à¤¾ à¤°à¤¿à¤‚à¤—,  ,,3
à¤œà¤¾à¤¨à¤•à¤¾à¤°à¥€,,,3
à¤•à¤¾à¤¨ à¤•à¤¾ à¤°à¤¿à¤‚à¤—,  ,,3
à¤œà¥‚à¤¤à¤¾,,,3
à¤•à¤¾à¤¨ à¤•à¤¾ à¤°à¤¿à¤‚à¤—,  ,,3
watches,watches,watches,3
t shart man,t shart man,t start man,3
Watch,watch,watch,3
mans black jeans,mans black jeans,mans black jeans,2
watch smart,watch smart,watch smart,1
smartwatch,smartwatch,smartwatch,1
jutabalek,jutabalek,jutabalek,1
puntubule,puntubule,puntubule,3
ledies soytar deli youj,ledies soytar deli youj,ladies star deli you,1
ledies soytar,ledies soytar,ladies star,1
ledies jakit,ledies jakit,ladies wait,3
kapda,kapda,kappa,1
baby kits jackat,baby kits jackat,baby kits jacket,2
men jacket pent,men jacket pent,men jacket pent,2
jacket pent,jacket pent,jacket pent,2
fancy jeans,fancy jeans,fancy jeans,2
jins man,jins man,wins man,3
warm slippers,warm slippers,warm slippers,0
furr chinese,furr chinese,fur chinese,1
saga star,saga star,saga star,1
Mr fab,mr fab,mr fab,1
timex,timex,timex,1
techno sport,techno sport,techno sport,1
techno sport,techno sport,techno sport,1
technosport,technosport,technosport,1
trufit,trufit,trust,3
S A ENTERPRISE,s a enterprise,s a enterprise,3
cloveyard,cloveyard,cloveyard,1
snowwood,snowwood,snowwood,1
Adidas,adidas,adidas,0
ego step,ego step,ego step,3
ego ortho step,ego ortho step,ego orth step,1
copy,copy,copy,3
sounds,sounds,sounds,3
Just lady,just lady,just lady,1
gentex,gentex,gentes,3
gentex,gentex,gentes,3
columbus,columbus,columbus,3
Bata brand mall,bata brand mall,data brand mall,1
https://bijnis.app.link/CHZjTdRx4Ob,httpsbijnisapplinkchzjtdrx4ob,httpsbijnisapplinkchzjtdrx4ob,4
cotton three thread hoddies,cotton three thread hoddies,cotton three thread toddies,1
action plus,action plus,action plus,3
adwer,adwer,adder,1
tanis sho,tanis sho,tanks so,3
winterbshoes,winterbshoes,winterbshoes,1
lakhani 2092,lakhani 2092,lakhani 2092,4
local Jadu,local jadu,local jade,1
garoos,garoos,grows,3
kangaruz,kangaruz,kangaroo,1
furro,furro,furry,3
trizlok,trizlok,trizlok,1
star impact,star impact,star impact,1
zoom shoes,zoom shoes,zoom shoes,0
shoe king,shoe king,shoe king,0
fancy high sole shoe leady,fancy high sole shoe leady,fancy high sole shoe ready,0
fancy mota sol non brand,fancy mota sol non brand,fancy moth sol non brand,1
high sole shoe,high sole shoe,high sole shoe,0
copy,copy,copy,3
hilux,hilux,hilum,3
shoetopia,shoetopia,photopia,1
Sega M21,sega m21,sega my,1
sega long,sega long,sega long,1
flite ladies,flite ladies,flite ladies,1
tsf,tsf,ts,3
hillson fur,hillson fur,million fur,1
jaykay,jaykay,payday,1
jaykay,jaykay,payday,1
xpert,xpert,expert,3
lakh touch,lakh touch,lakh touch,1
clogs campus,clogs campus,clogs campus,4
aar paar,aar paar,car paar,1
beyond,beyond,beyond,3
airson,airson,arson,3
ahg745,ahg745,ahg745,4
zoom shoes police,zoom shoes police,zoom shoes police,0
Hilux,hilux,hilum,3
columbus,columbus,columbus,3
Ali zer,ali zer,ali her,1
baraichi,baraichi,mariachi,1
abroos,abroos,across,3
Sega star,sega star,sega star,1
Sega star,sega star,sega star,1
BDR,bdr,bar,3
vkc,vkc,vic,3
columbus,columbus,columbus,3
